valor_original,novo_valor
11ª Unidade Jurisdicional Cível - Barreiro  34º JD ,Vara Cível
11ª Unidade Jurisdicional Cível - Barreiro - 34º JD da Comarca de Belo Horizonte,Vara Cível
11ª VARA CÍVEL,Vara Cível
11ª Vara Cível,Vara Cível
11ª Vara Cível ,Vara Cível
11ª VARA CÍVEL DE ACIDENTES DO TRABALHO,Outros
11ª Vara Cível e de Acidentes de Trabalho ,Outros
11ª VARA DE FAMÍLIA,Vara Cível
11ª Vara De Relações De Consumo ,Vara Cível
11ª VARA DO JUIZADO ESPECIAL,Juizado Especial Cível
11ª Vara do Juizado Especial Central ,Juizado Especial Cível
11ª VARA DO JUIZADO ESPECIAL CÍVEL,Juizado Especial Cível
11ª Vara do Juizado Especial Cível,Juizado Especial Cível
11ª Vara do Sistema dos Juizados Especiais do Consumidor ,Juizado Especial Cível
11ª VARA DOS FEITOS RELATIVO ÀS REL. DE CONSUMO,Vara Cível
11ª Vara Federal de Curitiba,Vara Cível
11ª VSJE DO CONSUMIDOR (FEDERAÇÃO MATUTINO),Juizado Especial Cível
11ª VSJE do Consumidor (Matutino) ,Juizado Especial Cível
11º JUIZADO ESPECIAL CÍVEL,Juizado Especial Cível
11º JUIZADO ESPECIAL CÍVEL,Juizado Especial Cível
11º Juizado Especial Cível,Juizado Especial Cível
11º Juizado Especial Civel ,Juizado Especial Cível
11º Juizado Especial Cível ,Juizado Especial Cível
11º JUIZADO ESPECIAL CÍVEL - CASA AMARELA,Juizado Especial Cível
11º Juizado Especial Civel - Regional de Leopoldina,Juizado Especial Cível
11º Juizado Especial Cível e das Relações de Consumo ,Juizado Especial Cível
11º JUIZADO ESPECIAL CÍVEL E RELAÇÕES DE CONSUMO,Juizado Especial Cível
11º Vara do Juizado Especial Cível,Juizado Especial Cível
12° Juizado Especial Cível,Juizado Especial Cível
12° Vara,Vara Cível
12° Vara Cível,Vara Cível
12° Vara Dos Juizados Especiais Do Consumidor,Juizado Especial Cível
12ª Câmara Cível,Vara Cível
12ª Câmara de Direito Privado,Vara Cível
12ª UNIDADE DO JUIZADO ESPECIAL CÍVEL E CRIMINAL,Juizado Especial Cível
12ª VARA CÍVEL,Vara Cível
12ª Vara Cível,Vara Cível
12ª Vara Cível ,Vara Cível
12ª Vara Cível - Foro Central Cível,Vara Cível
12ª VARA DO JUIZADO ESPECIAL CÍVEL,Juizado Especial Cível
12ª Vara do Juizado Especial Cível,Juizado Especial Cível
12ª Vara do Juizado Especial Cível ,Juizado Especial Cível
12ª Vara do Sistema dos Juizados Especiais do Consumidor ,Juizado Especial Cível
12ª VARA DOS FEITOS RELATIVOS ÀS REL. CONSUMO,Vara Cível
12ª VSJE DO CONSUMIDOR (FEDERAÇÃO VESPERTINO),Juizado Especial Cível
12ª VSJE DO CONSUMIDOR (VESPERTINO),Juizado Especial Cível
12º JUIZADO ESPECIAL CÍVEL,Juizado Especial Cível
12º JUIZADO ESPECIAL CÍVEL,Juizado Especial Cível
12º Juizado Especial Cível ,Juizado Especial Cível
12º Juizado Especial Cível - Regional do Méier,Juizado Especial Cível
12º JUIZADO ESPECIAL CÍVEL DAS RELAÇÕES DE CONSUMO,Juizado Especial Cível
12º Juizado Especial Cível e das Relações de Cons. ,Juizado Especial Cível
12º Vara do Juizado Especial Cível,Juizado Especial Cível
13° Juizado Especial Cível,Juizado Especial Cível
13° Vara,Vara Cível
13° Vara Cível,Vara Cível
13° Vara Dos Juizados Especiais Do Consumidor,Juizado Especial Cível
13ª Câmara Cível,Vara Cível
13ª Câmara de Direito Privado,Vara Cível
13ª Juizado Especial Cível ,Juizado Especial Cível
13ª UNIDADE DO JUIZADO ESPECIAL CÍVEL E CRIMINAL,Juizado Especial Cível
13ª VARA CÍVEL,Vara Cível
13ª VARA CÍVEL,Vara Cível
13ª Vara Cível,Vara Cível
13ª Vara Cível ,Vara Cível
13ª Vara Cível - Regional de Santo Amaro,Vara Cível
13ª VARA CÍVEL DE ACIDENTES DO TRABALHO,Outros
13ª VARA CRIMINAL,Vara Cível
13ª Vara de Fazenda Pública,Outros
13ª Vara de Relações de Consumo ,Vara Cível
13ª VARA DO JUIZADO ESPECIAL CÍVEL,Juizado Especial Cível
13ª Vara do Juizado Especial Cível,Juizado Especial Cível
13ª Vara do Sistema dos Juizados Especiais do Consumidor ,Juizado Especial Cível
