situacao_processual,resultado_decisao,novo_situacao_processual+resultado_decisao,situacao_processual_sentenca
Cumprido Pelo Corréu,Vitória,Decisão favorável à aérea (improcedência),Cumprido Pelo CorréuVitória
Cumprimento de Sentença,,Não informado,Cumprimento de Sentença
Cumprimento de Sentença,Sentença parcialmente procedente.,Condenação,Cumprimento de SentençaSentença parcialmente procedente.
Cumprimento de Sentença,Sentença procedente.,Condenação,Cumprimento de SentençaSentença procedente.
Cumprimento Provisório de Sentença,,Não informado,Cumprimento Provisório de Sentença
Custas Finais,Outros,Não informado,Custas FinaisOutros
Dados Fornecidos,Outros,Não informado,Dados FornecidosOutros
Dano Material,Acordo,Acordo,Dano MaterialAcordo
Dano Material,Condenação,Condenação,Dano MaterialCondenação
Dano Material (Cumprida Solidariamente),Condenação,Condenação,Dano Material (Cumprida Solidariamente)Condenação
Dano Material mais Dano Moral,Acordo,Acordo,Dano Material mais Dano MoralAcordo
Dano Material mais Dano Moral,Condenação,Condenação,Dano Material mais Dano MoralCondenação
Dano Material mais Dano Moral (Cumprida Solidariamente),Condenação,Condenação,Dano Material mais Dano Moral (Cumprida Solidariamente)Condenação
Dano Moral,Acordo,Acordo,Dano MoralAcordo
Dano Moral,Condenação,Condenação,Dano MoralCondenação
Dano Moral (Cumprida Solidariamente),Condenação,Condenação,Dano Moral (Cumprida Solidariamente)Condenação
DECISÃO FAVORÁVEL,EXTINÇÃO,Decisão favorável à aérea (improcedência),DECISÃO FAVORÁVELEXTINÇÃO
DECISÃO FAVORÁVEL,EXTINÇÃO,Decisão favorável à aérea (improcedência),DECISÃO FAVORÁVELEXTINÇÃO
DECISÃO FAVORÁVEL,IMPROCEDÊNCIA,Decisão favorável à aérea (improcedência),DECISÃO FAVORÁVELIMPROCEDÊNCIA
DECISÃO FAVORÁVEL,IMPROCEDÊNCIA,Decisão favorável à aérea (improcedência),DECISÃO FAVORÁVELIMPROCEDÊNCIA
DECISÃO FAVORÁVEL À AEREA,ACORDO,Acordo,DECISÃO FAVORÁVEL À AEREAACORDO
DECISÃO FAVORÁVEL À AEREA,EXTINÇÃO COM MÉRITO,Decisão favorável à aérea (improcedência),DECISÃO FAVORÁVEL À AEREAEXTINÇÃO COM MÉRITO
DECISÃO FAVORÁVEL À AEREA,EXTINÇÃO SEM MERITO,Extinção sem julgamento do mérito,DECISÃO FAVORÁVEL À AEREAEXTINÇÃO SEM MERITO
DECISÃO FAVORÁVEL À AEREA,IMPROCEDENTE,Decisão favorável à aérea (improcedência),DECISÃO FAVORÁVEL À AEREAIMPROCEDENTE
DECISÃO FAVORÁVEL À AEREA,PROCEDENTE,Condenação,DECISÃO FAVORÁVEL À AEREAPROCEDENTE
DECISÃO FAVORÁVEL À CIA,EXTINÇÃO COM MÉRITO,Decisão favorável à aérea (improcedência),DECISÃO FAVORÁVEL À CIAEXTINÇÃO COM MÉRITO
DECISÃO FAVORÁVEL À CIA,EXTINÇÃO SEM MÉRITO,Extinção sem julgamento do mérito,DECISÃO FAVORÁVEL À CIAEXTINÇÃO SEM MÉRITO
DECISÃO FAVORÁVEL À CIA,IMPROCEDENTE,Decisão favorável à aérea (improcedência),DECISÃO FAVORÁVEL À CIAIMPROCEDENTE
DECISÃO FAVORÁVEL À CIA,PARCIALMENTE PROCEDENTE,Condenação,DECISÃO FAVORÁVEL À CIAPARCIALMENTE PROCEDENTE
DECISÃO FAVORÁVEL À CIA,PROCEDENTE,Condenação,DECISÃO FAVORÁVEL À CIAPROCEDENTE
Decisão favorável à companhia aérea,Improcedente,Decisão favorável à aérea (improcedência),Decisão favorável à companhia aéreaImprocedente
Decisão favorável; Pendente recurso parte contrária,Improcedente,Decisão favorável à aérea (improcedência),Decisão favorável; Pendente recurso parte contráriaImprocedente
Decisão favorável; Pendente recurso parte contrária,Parcialmente procedente,Condenação,Decisão favorável; Pendente recurso parte contráriaParcialmente procedente
DESISTÊNCIA,Desistência do autor,Extinção sem julgamento do mérito,DESISTÊNCIADesistência do autor
