operacao_original,operacao_reclassificado
CNF/SSA/VIX,Doméstico
CNF-GRU,Doméstico
CNF-SSA,Doméstico
COF/SSA/SSA/CNF,Internacional
CON/POA/FLO,Internacional
CONGONHAS - SALVADOR,Doméstico
CPV/GRU,Doméstico
CPV/GRU/DOU,Doméstico
CPV/GRU/GRU/CPV,Doméstico
CRG/GRU,Internacional
CUN - BSB,Internacional
CUN/BSB,Internacional
CUN/BSB/BSB/CUN,Internacional
CUN/BSB/CGB,Internacional
CUN/BSB/CWB,Internacional
CUN/BSB/GRU,Internacional
CURITIBA - GUARULHOS - JERICOACOARA,Doméstico
CURITIBA - SÃO PAULO - BELO HORIZONTE,Doméstico
CWB - BSB,Doméstico
CWB - BSB - FOR / FOR - GRU - CWB,Doméstico
CWB X BSB X PVH,Doméstico
CWB/BSB,Doméstico
CWB/BSB BSB/PVH,Doméstico
CWB/BSB/BSB/MCO/MCO/BSB/BSB/CWB,Internacional
CWB/BSB/BVB,Doméstico
CWB/BSB/CGB,Doméstico
CWB/BSB/CUN/,Internacional
CWB/BSB/CUN/CUN/BSB/CWB,Internacional
CWB/BSB/FOR/GIG/CWB,Doméstico
CWB/BSB/MAO/MAO/GRU/CWB,Doméstico
CWB/BSB/MCO,Internacional
CWB/BSB/POA,Doméstico
CWB/BSB/PVH,Doméstico
CWB/BSB/PVH/BSB/CWB,Doméstico
CWB/BSB/REC/REC/CGH/CWB,Doméstico
CWB/BSB/SSA/BPS/BPS/SSA/GRU/CWB,Doméstico
CWB/CGH,Doméstico
CWB/CGH CGH/SDU,Doméstico
CWB/CGH/BPS/BPS/CGH/CWB,Doméstico
CWB/CGH/BPS/BPS/GRU/CWB,Doméstico
CWB/CGH/BSB,Doméstico
CWB/CGH/CGB,Doméstico
CWB/CGH/CGH/FOR/FOR/BSB/BSB/CWB,Doméstico
CWB/CGH/CGH/POA,Doméstico
CWB/CGH/CGH/REC,Doméstico
CWB/CGH/CGH/SDU/SDU/GRU/GRU/CWB,Doméstico
CWB/CGH/CLV,Doméstico
CWB/CGH/CNF,Doméstico
CWB/CGH/MCZ/MCZ/GRU/CWB,Doméstico
CWB/CGH/POA,Doméstico
CWB/CGH/REC,Doméstico
CWB/CGH/REC/REC/CGH,Doméstico
CWB/CGH/SDU,Doméstico
CWB/CGH/SDU/SDU/CWB,Doméstico
CWB/CGH/SDU/VIX,Doméstico
CWB/CGH/SJP,Doméstico
CWB/CGH/SSA,Doméstico
CWB/CIG,Internacional
CWB/CNF,Doméstico
CWB/CUN/CUN/CWB,Internacional
CWB/FOR,Doméstico
CWB/GIG,Doméstico
CWB/GIG/AJU,Doméstico
CWB/GIG/BEL,Doméstico
CWB/GIG/CWB/GIG,Doméstico
CWB/GIG/FOR/GIG/CWB,Doméstico
CWB/GIG/GIG/CWB,Doméstico
CWB/GIG/GIG/FOR/FOR/SSA,Doméstico
CWB/GIG/GIG/NAT,Doméstico
CWB/GIG/GIG/SSA,Doméstico
CWB/GIG/MCZ/CGH/CWB,Doméstico
CWB/GIG/NAT,Doméstico
CWB/GIG/REC/FEN//FEN/REC/GIG/CWB,Doméstico
CWB/GIG/SDU,Doméstico
CWB/GRU,Doméstico
CWB/GRU/AMS/LIS/LIS/AMS GRU,Internacional
CWB/GRU/CGB,Doméstico
CWB/GRU/CGR,Doméstico
CWB/GRU/CWB,Doméstico
CWB/GRU/FOR,Doméstico
CWB/GRU/GRU/EZE/EZE/GRU/GRU/CWB,Internacional
CWB/GRU/GRU/FOR,Doméstico
CWB/GRU/GRU/GYN,Doméstico
CWB/GRU/GRU/JDO/JDO/GRU/GRU/CWB,Doméstico
CWB/GRU/GRU/LIM,Internacional
CWB/GRU/GRU/MAO,Doméstico
CWB/GRU/GRU/MCZ,Doméstico
CWB/GRU/GRU/PTY/JFK,Internacional
CWB/GRU/GRU/SSA/SSA/CWB,Doméstico
CWB/GRU/IGU,Doméstico
