operacao_original,operacao_reclassificado
SSA/CGH/POA/POA/SDU/SSA,Doméstico
SSA/CGH/POA/SSA/POA,Doméstico
SSA/CGH/SDU,Doméstico
SSA/CGH/SSA,Doméstico
SSA/CGH/VIX/VIX/GRU/SSA,Doméstico
SSA/CGR,Doméstico
SSA/CNF,Doméstico
SSA/CNF CNF/SSA,Doméstico
SSA/CNF/CNF/SSA,Doméstico
SSA/CWB,Doméstico
SSA/EZE,Internacional
SSA/EZE/GRU/SSA,Internacional
SSA/FLN,Doméstico
SSA/FOR,Doméstico
SSA/FOR/REC/REC/FOR/SSA,Doméstico
SSA/FOR/SSA,Doméstico
SSA/GIG,Doméstico
SSA/GIG/CDG/BLR,Internacional
SSA/GIG/CGH,Doméstico
SSA/GIG/GIG/IGU/IGU/GRU/GRU/SSA,Doméstico
SSA/GIG/GRU,Doméstico
SSA/GIG/POA,Doméstico
SSA/GIG/POA/POA/BSB/SSA,Doméstico
SSA/GIG/SCL/GIG/SSA,Internacional
SSA/GIG/SSA,Doméstico
SSA/GIG/VCP,Doméstico
SSA/GRU,Doméstico
SSA/GRU//CGH/SSA,Doméstico
SSA/GRU/AEP,Internacional
SSA/GRU/CAC,Doméstico
SSA/GRU/CDG,Internacional
SSA/GRU/CGH/SSA,Doméstico
SSA/GRU/CXJ,Doméstico
SSA/GRU/CXS,Doméstico
SSA/GRU/EZE/EZE/GIG/SSA,Internacional
SSA/GRU/FLN,Doméstico
SSA/GRU/GRU/IGU,Doméstico
SSA/GRU/GRU/SSA,Doméstico
SSA/GRU/GRU/XAP,Doméstico
SSA/GRU/IGU,Doméstico
SSA/GRU/MGF,Doméstico
SSA/GRU/MVD/MVD/GRU/SSA,Internacional
SSA/GRU/OPS,Doméstico
SSA/GRU/POA,Doméstico
SSA/GRU/POA/POA/BSB/SSA,Doméstico
SSA/GRU/POA/POA/GRU/SSA,Doméstico
SSA/GRU/PPB,Doméstico
SSA/GRU/PUJ,Internacional
SSA/GRU/SCL,Internacional
SSA/GRU/SCL/SCL/GRU/SSA,Internacional
SSA/GRU/SSA,Doméstico
SSA/GRU/VCP/SDU/SDU/BSB,Doméstico
SSA/GYN,Doméstico
SSA/GYN/GYN/SSA,Doméstico
SSA/IOS,Doméstico
SSA/IOS/SSA,Doméstico
SSA/JPA,Doméstico
SSA/JPA/JPA/SSA,Doméstico
SSA/MAO,Doméstico
SSA/MCZ,Doméstico
SSA/MCZ/SSA,Doméstico
SSA/NAT,Doméstico
SSA/NAT/NAT/SSA,Doméstico
SSA/NAT/PMW,Doméstico
SSA/NAT/SSA,Doméstico
SSA/NVT,Doméstico
SSA/NVT/SSA,Doméstico
SSA/PMW,Doméstico
SSA/PNZ,Doméstico
SSA/POA,Doméstico
SSA/PVH,Doméstico
SSA/REC,Doméstico
SSA/REC/ REC/SSA,Doméstico
SSA/REC/REC/GRU,Doméstico
SSA/REC/REC/SSA,Doméstico
SSA/REC/SSA,Doméstico
SSA/SCL/SSA,Internacional
SSA/SDU,Doméstico
SSA/SDU/CGH,Doméstico
SSA/SDU/CNF,Doméstico
SSA/SDU/SDU/SSA,Doméstico
SSA/SLZ,Doméstico
SSA/SLZ/SLZ/SSA,Doméstico
SSA/VCP,Doméstico
SSA/VCP/BSB,Doméstico
SSA/VCP/CGH/SSA,Doméstico
SSA/VCP/VCP/SSA,Doméstico
SSA/VDC,Doméstico
SSA/VDC/VDC/SSA,Doméstico
SSA/VIX,Doméstico
SSA/ZRH,Internacional
SSA-GRU,Doméstico
SSAXGRU,Doméstico
SSSA/FOR,Doméstico
SSSA/GIG,Doméstico
SSSA/PMW,Doméstico
STM  MAO,Doméstico
STM/BEL,Doméstico
STM/BSB,Doméstico
STM/BSB/BSB/PVH,Doméstico
STM/GRU,Doméstico
STM/MAO,Doméstico
STM/MAO/BSB/CGH,Doméstico
THE/BSB,Doméstico
THE/BSB/BSB/CGH,Doméstico
THE/BSB/CGH/FLN,Doméstico
THE/BSB/GYN,Doméstico
THE/GRU,Doméstico
THE/GRU/MGF,Doméstico
THE/GYN,Doméstico
THE-PHB,Doméstico
TXF/SSA,Doméstico
UDI/GRU,Doméstico
UDI/GRU/CAC,Doméstico
UDI/GRU/GIG,Doméstico
UDI/GRU/GRU/UDI,Doméstico
UDI/GRU/SDU,Doméstico
UDI/RAO,Doméstico
URU/GRU/CNF,Doméstico
VCP - BSB - MCZ,Doméstico
VCP/BPS,Doméstico
VCP/BSB,Doméstico
VCP/BSB/BSB/CUN/CUN/BSB/BSB/VCP,Internacional
VCP/BSB/BSB/JPA,Doméstico
VCP/BSB/CGB,Doméstico
VCP/BSB/CUN,Internacional
VCP/BSB/JPA,Doméstico
VCP/BSB/MCZ,Doméstico
VCP/BSB/PMW,Doméstico
VCP/BSB/POA,Doméstico
VCP/BSB/SDU,Doméstico
VCP/BSB/THE,Doméstico
VCP/FOR,Doméstico
VCP/GIG,Doméstico
VCP/GIG/AJU/AJU/GIG/VCP,Doméstico
VCP/GIG/FLN,Doméstico
VCP/GIG/GIG/MAO,Doméstico
VCP/GIG/GIG/VCP,Doméstico
VCP/GIG/MAO,Doméstico
VCP/GIG/MCZ,Doméstico
VCP/GIG/NAT,Doméstico
VCP/GIG/REC,Doméstico
VCP/GIG/SCL/SCL/GIG/VCP,Internacional
VCP/GIG/SSA,Doméstico
VCP/GIG/VCP,Doméstico
VCP/MCZ,Doméstico
VCP/MCZ/MCZ/VCP,Doméstico
VCP/REC/FEN/FEN/REC/VCP,Doméstico
VCP/SDU,Doméstico
VCP/SDU/SDU/VCP,Doméstico
VCP/SDU/SSA,Doméstico
VCP/SSA,Doméstico
VCP/SSA/FOR,Doméstico
VCP/SSA/FOR/SLZ,Doméstico
VCP/SSA/NAT,Doméstico
VCP/SSA/REC,Doméstico
VCP=GIG,Doméstico
VDC/BSB,Doméstico
VDC/GRU,Doméstico
VDC/GRU/CWB,Doméstico
VDC/GRU/FOR,Doméstico
VDC/GRU/GRU/VDC,Doméstico
VDC/GRU/POA,Doméstico
VDC/GRU/VDC,Doméstico
VDC/SSA,Doméstico
VDC/SSA/GRU,Doméstico
VDC/SSA/PMW,Doméstico
VDI/GRU,Internacional
VITORIA/RIO DE JANEIRO,Doméstico
VIX - CGH,Doméstico
VIX - GRU,Doméstico
VIX - IGU,Doméstico
VIX/ GRU GRU/CAC,Doméstico
VIX/AEP,Internacional
VIX/AJU,Doméstico
VIX/BSB,Doméstico
VIX/BSB/BSB/NAT/NAT/GRU/GRU/VIX,Doméstico
VIX/BSB/BSB/PMW,Doméstico
VIX/BSB/CZS/CZS/BSB/VIX,Doméstico
VIX/BSB/MAB,Doméstico
VIX/CGH,Doméstico
VIX/CGH/CGH/BSB/PVH,Doméstico
VIX/CGH/CGH/NVT/VNT/GRU/GRU/VIX,Internacional
VIX/CGH/CGH/VIX,Doméstico
VIX/CGH/GYN,Doméstico
VIX/CGH/NVT,Doméstico
VIX/CGH/NVT/NVT/CGH/VIX,Doméstico
VIX/CGH/POA,Doméstico
VIX/CGH/POA/POA/CGH/VIX,Doméstico
VIX/CGH/POA/POA/SSA/VIX,Doméstico
VIX/CGH/SDU/VIX,Doméstico
VIX/CGH/VIX,Doméstico
VIX/CGH/VIX/GRU,Doméstico
VIX/CNF,Doméstico
VIX/CWB,Doméstico
VIX/DOU,Doméstico
VIX/GIG,Doméstico
VIX/GIG/AJU/AJU/GIG/VIX,Doméstico
VIX/GIG/GIG/CDG/CDG/BCN,Internacional
VIX/GIG/GIG/FOR/VIX/GRU/GRU/FOR,Doméstico
VIX/GIG/GIG/IGU/IGU/GIG/GIG/VIX,Doméstico
VIX/GIG/GIG/VIX,Doméstico
VIX/GIG/POA,Doméstico
VIX/GIG/REC,Doméstico
VIX/GRU,Doméstico
VIX/GRU  GRU/EZE  EZE/GIG  GIG/VIX,Internacional
VIX/GRU/BEL,Doméstico
VIX/GRU/BPS,Doméstico
VIX/GRU/BSB,Doméstico
VIX/GRU/CAC,Doméstico
VIX/GRU/CDG,Internacional
VIX/GRU/CGR/CGR/GRU/VIX,Doméstico
VIX/GRU/CWB,Doméstico
VIX/GRU/FLN,Doméstico
VIX/GRU/GRU/CAC/CAC/GRU/GRU/VIX,Doméstico
VIX/GRU/GRU/FLN/FLN/GRU/GRU/VIX,Doméstico
VIX/GRU/GRU/FOR/FOR/SSA/SSA/VIX,Doméstico
VIX/GRU/GRU/POA,Doméstico
VIX/GRU/GRU/POA/POA/GRU/GRU/VIX,Doméstico
VIX/GRU/GRU/SSA/SSA/CGH/CGH/VIX,Doméstico
VIX/GRU/GRU/SSA/SSA/GRU/GRU/VIX,Doméstico
VIX/GRU/GRU/SSA/SSA/VIX,Doméstico
VIX/GRU/GRU/VIX,Doméstico
VIX/GRU/GRUVIX,Doméstico
VIX/GRU/GYN,Doméstico
VIX/GRU/IGU,Doméstico
VIX/GRU/JJD,Doméstico
VIX/GRU/LIM,Internacional
VIX/GRU/LIM/LIM/GRU/VIX,Internacional
VIX/GRU/NVT,Doméstico
VIX/GRU/POA,Doméstico
VIX/GRU/REC/FEN,Doméstico
VIX/GRU/SCL/GRU/VIX,Internacional
VIX/GRU/SLC/SLC/GRU/VIX,Internacional
VIX/GRU/VIX,Doméstico
VIX/GYN,Doméstico
VIX/POA,Doméstico
VIX/SDU,Doméstico
VIX/SDU/BSB/MAB/MAB/BSB/SDU/VIX,Doméstico
VIX/SDU/CGH,Doméstico
VIX/SDU/CGH/CGH/SDU/VIX,Doméstico
VIX/SDU/POA,Doméstico
VIX/SDU/POA/SDU/VIX,Doméstico
VIX/SDU/SDU/GYN/GYN/BSB/BSB/VIX,Doméstico
VIX/SDU/SDU/VIX,Doméstico
VIX/SDU/VCP/VIX/SDU/VCP,Doméstico
VIX/SDU/VIX,Doméstico
VIX/SSA,Doméstico
VIX/SSA SSA/VIX SSA/GRU GRU/VIX,Doméstico
VIX/SSA/BSB/PVH,Doméstico
VIX/SSA/FOR,Doméstico
VIX/SSA/GIG/GIG/VIX,Doméstico
VIX/SSA/JPA/GRU/VIX,Doméstico
VIX/SSA/POA,Doméstico
VIX/SSA/SSA/BSB,Doméstico
VIX/SSA/SSA/VIX,Doméstico
VIX/SSA/VIX,Doméstico
VIX/VVI,Internacional
VNT/GIG/GIG/IOS,Internacional
VSC/SSA,Doméstico
VVI/GRU,Internacional
XA P/GRU,Outros
XAP/BPS,Doméstico
XAP/FLN,Doméstico
XAP/FLN/FLN/XAP,Doméstico
XAP/FOR,Doméstico
XAP/GRU,Doméstico
XAP/GRU/FLN,Doméstico
XAP/GRU/GRU/AJU,Doméstico
XAP/GRU/GRU/SSA/SSA/BPS,Doméstico
XAP/GRU/GRU/XAP,Doméstico
XAP/GRU/SDU,Doméstico
XAP/VCP,Doméstico
Portugal, Internacional
EUA, Internacional
#N/D, Não Informado
França, Internacional
Argentina, Internacional
Uruguai, Internacional
Guiana Francesa, Internacional
Curação, Internacional
BSB - GYN ,Doméstico
SDU - BSB ,Doméstico
GRU - SSA ,Doméstico
GRU - CGB ,Doméstico
"STM, MAO",Doméstico
CGR - BSB ,Doméstico
LDB - GRU ,Doméstico
BSB - REC ,Doméstico
"VIX/GRU, GRU/EZE, EZE/GIG, GIG/VIX",Doméstico
REC - FOR ,Doméstico
BSB - GRU ,Doméstico
GRU X AEP; AEP X GRU,Doméstico
SSA - BSB ,Doméstico
REC - BSB ,Doméstico
SSA - FOR ,Doméstico
JDO - FOR ,Doméstico
GYN - MCZ ,Doméstico
CGR - GRU ,Doméstico
NAT - CAC ,Doméstico
POA - CGH ,Doméstico
MAO - STM ,Doméstico
sdu/gru,Doméstico
BEL - MAO ,Doméstico
MAO - BSB ,Doméstico
VIX  - IGU ,Doméstico
CAC - IOS ,Doméstico
"PPB/CGH, CGH/SDU",Doméstico
SDU - GRU ,Doméstico
BPS - GRU ,Doméstico
SDU - CGH ,Doméstico
"JPA/BSB, BSB/CNF",Doméstico
SSA - CGH ,Doméstico
rec/gig,Doméstico
"SDU/CGH, CGH/CWB",Doméstico
CGH - AJU ,Doméstico
IGU - GRU ,Doméstico
POA - GRU ,Doméstico
CASCAVEL - GUARULHOS - NATAL ,Doméstico
"CAC/GRU, GRU/MCZ",Doméstico
"REC/FEN, FEN/REC",Doméstico
SSA/;CNF,Doméstico
GRU - AEP ,Doméstico
CWB - BSB ,Doméstico
MCZ - GRU ,Doméstico
REC - GRU ,Doméstico
mgf/gru,Doméstico
CGR X CGH; GRU X CGR,Doméstico
FOR - GRU ,Doméstico
"GIG/GRU, GRU/JFK, JFK/GIG",Doméstico
"MGF/GRU, GRU/REC, REC/FEN",Doméstico
CUN - BSB ,Doméstico
VIX - GRU ,Doméstico
"MAO/GRU, GRU/SSA",Doméstico
CGH - REC ,Doméstico
CGH - SSA ,Doméstico
JDO - GRU ,Doméstico
GYN - GRU ,Doméstico
PVH - BSB ,Doméstico
IOS - GRU ,Doméstico
SCL - GRU ,Doméstico
OPERAÇÃO,Doméstico
CGH - SSA - SLZ,Doméstico
FOR - BSB - CNF,Doméstico
CGH-BSB-REC,Doméstico
MGF-GIG,Doméstico
CGH - BSB - CUN / CUN - BSB - CGH,Doméstico
VDC - GRU - EZE,Doméstico
AEP-USH,Doméstico
BPS - GRU - MAO,Doméstico
BOG - GRU,Doméstico
IOS- CGH-SDU,Doméstico
FOR - MCO,Doméstico
CGH - BSB - CUN,Doméstico
JFK - GRU - MGF,Doméstico
GIG - IGU ,Doméstico
AJU - SSA - BSB - RBR,Doméstico
CGH - REC - FEN,Doméstico
DUB - DFW - GRU - CNF,Doméstico
RAO - NAT / NAT  RAO,Doméstico
BPS-GRU,Doméstico
FLN - CGR - POA,Doméstico
MAO - BSB - REC - FEN / FEN - REC - BSB - MAO,Doméstico
MAO-PVH,Doméstico
GYN - CGH - CWB - ACL,Doméstico
MGF - CGH / CGH - BSB / BSB - MIA,Doméstico
SSA/GIG ,Doméstico
GIG - REC / REC - FEN,Doméstico
BSB-CGH-CWB,Doméstico
GRU-ARU,Doméstico
PVH - BSB - GRU - FOR / FOR - BSB - PVH,Doméstico
REC - BSB- VCP,Doméstico
CWB X NAT,Doméstico
CGH - FOR ,Doméstico
CGH-MCZ,Doméstico
CGH -MGF,Doméstico
FOR - GIG - GRU,Doméstico
CWB - GIG - AEP,Doméstico
SDU - FLN,Doméstico
LIN - CDG,Doméstico
GRU-LDB,Doméstico
SSA - GRU - BEL,Doméstico
PMW-GRU,Doméstico
FOR - MIA - MCO,Doméstico
REC - CGH,Doméstico
VCP - BSB - CUN / CUN - BSB - VCP,Doméstico
POA - BSB ,Doméstico
MCO-BSB-CGH-FLN,Doméstico
SSA - BSB - VCP,Doméstico
GRU - MAO,Doméstico
POA - GRU - JDO,Doméstico
PVH - MAO / MAO - GRU,Doméstico
GRU - EZE / EZE - GRU,Doméstico
AJU - SSA,Doméstico
IAD - GRU,Doméstico
PVH - MAO - FOR - REC,Doméstico
SSA - CGH - FLN,Doméstico
MAO - GRU - SDU - BSB - FOR / FOR - MAO,Doméstico
salvador ,Doméstico
GYN - GRU - SSA,Doméstico
VDC-GRU-NVT,Doméstico
NAT - BSB / BSB - NAT,Doméstico
DOU - GRU,Doméstico
DFW - GRU,Doméstico
GYN-CGH-SDU,Doméstico
CWB - VCP,Doméstico
FOR - GRU - IGU,Doméstico
SLZ - BSB - CWB,Doméstico
GRU - JOI,Doméstico
MCO-FOR,Doméstico
MAO - GRU / GRU - ZRH,Doméstico
FOR - BSB - VCP,Doméstico
PVH - BSB - JPA,Doméstico
VIX - SSA - NAT,Doméstico
SDU - CGH - CGR,Doméstico
VIX -SSA -VIX,Doméstico
POA-GRU-OPS,Doméstico
BSB-MAB,Doméstico
FLN - GRU - SCL / SCL - GRU - FLN,Doméstico
BSB - REC - FEN,Doméstico
NVT - GRU,Doméstico
PVH - BSB - SSA - GIG - PVH / GIG - BSB - PVH,Doméstico
MCZ-BSB-MAO,Doméstico
SSA-GRU-MOC,Doméstico
GIG- FLN,Doméstico
POA - CGH - RAO,Doméstico
MGF-CGH-FLN,Doméstico
IGU - GRU - BSB - BVB,Doméstico
NAT/GRU - GRU/XAP,Doméstico
PNZ - SSA / SSA - SDU,Doméstico
SLZ-GRU,Doméstico
PVH - MAO - BSB - GRU ,Doméstico
MAO X BEL X FOR X SSA,Doméstico
IGU-GRU-VIX,Doméstico
GYN - BSB - RBR,Doméstico
SSA - POA ,Doméstico
SSA/CGH - CGH/SDU - SDU/POA,Doméstico
SSA-VIX,Doméstico
SSA - IGU / IGU - SSA,Doméstico
SSA-CGH-POA,Doméstico
PVH - BSB - GIG - GRU,Doméstico
PMW - BSB - CGH,Doméstico
THE-BSB,Doméstico
FOR - BSB ,Doméstico
BEL - BSB - POA,Doméstico
LHR-CDG-GRU,Doméstico
CWB - CGH - BSB - PVH,Doméstico
SALADOR X GUARULHOS X CUIABA,Doméstico
BSB - COM,Doméstico
SDU - CNF - GRU - MGF,Doméstico
VIX - GRU / GRU - MDZ,Doméstico
VIX-MDZ,Doméstico
CGH - PMW,Doméstico
NVT - CGH - CGR,Doméstico
SSA - CGH - NVT / NVT - GRU - SSA,Doméstico
GRU - REC / REC - GRU,Doméstico
PVH - BSB - REC - FEN / FEN - REC - GRU - MAO,Doméstico
XAP-GRU-BSB,Doméstico
SSA - CFH,Doméstico
AEP - GRU - FOR,Doméstico
CNF - BPS - POA,Doméstico
CGB - BSB - MCZ,Doméstico
MGF-GRU-MCZ,Doméstico
PVH - MCZ,Doméstico
PPB - CGH / CGH - PPB,Doméstico
GEL - GRU - BSB,Doméstico
GEL-GRU,Doméstico
GRU - CAC,Doméstico
REC - GIG - IGU / IGU - GIG - REC,Doméstico
MAO - GRU - BPS,Doméstico
SSA - GRU / GRU - ZRH,Doméstico
LCY - LIS - GRU - GYN,Doméstico
PAV - SSA,Doméstico
SSA - FOR - REC,Doméstico
FOR-BSB-PVH,Doméstico
GYN - CGH - NVT ,Doméstico
GYN - GRU - JJD,Doméstico
MIA - BSB - FLN,Doméstico
CNF - CGH - FLN,Doméstico
MAO-GRU-REC,Doméstico
POA - GIG - MAO / MAO - BSB - POA,Doméstico
MCO-BSB-CWB,Doméstico
NAT - GRU - LDB,Doméstico
POA/SDU - SDU/BSB - BSB/PVH,Doméstico
FCO - CDG,Doméstico
REC - CXJ,Doméstico
BEL - BSB ,Doméstico
JPA/GRU - GRU/MAO,Doméstico
RAO - SDU - GRU - CPV,Doméstico
NVT - SDU,Doméstico
REC - SSA - FOR,Doméstico
CNF - GRU - RAO,Doméstico
MCO - MIA ,Doméstico
FLN - JPA ,Doméstico
REC-SSA-FOR,Doméstico
FLN - GRU - REC - FEN,Doméstico
PVH - NAT,Doméstico
CGH - FOR / FOR - SSA - CGH,Doméstico
GRU - FOR - SSA / SSA - CGH,Doméstico
POA - SDU - VIX,Doméstico
GRU - MDZ / MDZ - GRU,Doméstico
MCO-BSB,Doméstico
VIX - CGH - SSA,Doméstico
FOR - GRU / GRU - CAC,Doméstico
GIG - GRU - BSB,Doméstico
SSA-BSB-MAO,Doméstico
CWB - CGB,Doméstico
MIA - CLT,Doméstico
PVH - IOS - BSB - SSA,Doméstico
PVH-BSB-NAT,Doméstico
SSA,Doméstico
SSA - GRU / GRU - POA,Doméstico
MCP-BSB,Doméstico
CNF - GRU - DFW - SAN,Doméstico
GRU XAP,Doméstico
SSA - REC - GRU - MGF,Doméstico
FOR - CGH,Doméstico
JOI - PVH,Doméstico
SSA -VDC,Doméstico
NVT-CGH-FOR,Doméstico
MCO - MIA - MAO - FOR,Doméstico
AJU - SSA - BPS - BSB,Doméstico
MIA-MAO,Doméstico
PVH - BSB - SSA - BPS,Doméstico
MIA - BSB - NAT,Doméstico
SSA-JPA,Doméstico
SDU - GRU - AJU,Doméstico
BSB-MCO,Doméstico
GRU-THE,Doméstico
SSA - CGH / CGH - SSA,Doméstico
BPS - GRU / GRU - BPS,Doméstico
MFGF-GRU-CWB,Doméstico
SSA - GRU - YYZ - YVR - YUL,Doméstico
GYN-GRU,Doméstico
BSB-GRU-MVD,Doméstico
GYN-BSB-REC,Doméstico
REC-GRU-POA,Doméstico
CNF-VIX,Doméstico
BSB - MGF,Doméstico
CGH - SSA - FOR,Doméstico
REC-NVT,Doméstico
BSB-FLN,Doméstico
JDO - GRU   ,Doméstico
CGR-CGH,Doméstico
POA - SDU ,Doméstico
CWB X BSB,Doméstico
CFN-CGH-SJP,Doméstico
GRU-PVH,Doméstico
GYN-GRU-POA,Doméstico
AEP - PVH,Doméstico
GYN - VVI,Doméstico
CWB,Doméstico
NVT - GRU - SLZ,Doméstico
REC FEN ,Doméstico
BEL - GRU - CWB,Doméstico
GRU - GIG - BSB - PVH,Doméstico
LDB-GRU-CDG-CPH,Doméstico
GRU - BOG,Doméstico
GYN-FLN,Doméstico
GRU - CLV / CLV - GRU,Doméstico
MDZ - AEP - GRU,Doméstico
PMW - GYN,Doméstico
REC - GRU - SCL / SCL - REC ,Doméstico
REC - NVT,Doméstico
CGH  ,Doméstico
VIC - REC - MCZ,Doméstico
MAO - BEL / BEL - BSB - MAO,Doméstico
NAT - BSB - PVH,Doméstico
GYN-GRU-MCZ,Doméstico
FLN - CGH - SSA - NAT,Doméstico
FCO - AMS ,Doméstico
SSA - POA,Doméstico
CDG - TLV,Doméstico
IOS - GRU - BSB,Doméstico
PHB - THE,Doméstico
MDZ-GRU-SSA,Doméstico
BSB - SJP,Doméstico
IGU - CGH - BSB - PVH,Doméstico
VIX - SSA,Doméstico
GIG - CXJ,Doméstico
SSA - AJU,Doméstico
MAO - SSA,Doméstico
SSA-UDI,Doméstico
UBA - CGH - SDU - VIX,Doméstico
IGU - GRU - NAT / NAT - GRU - IGU,Doméstico
MCO-BSB-GRU,Doméstico
MCZ X GYN,Doméstico
CWB - CGH,Doméstico
SSA - BSB - GYN,Doméstico
THE - GRU ,Doméstico
BSB - GIG ,Doméstico
SSA - BSB - BRA,Doméstico
BSB  - MIA,Doméstico
SSA - PNZ / PNZ - SSA,Doméstico
SSA - BSB - PMW,Doméstico
GIG X IGU,Doméstico
CGR - BSB - MCZ / MCZ - GRU - CGR,Doméstico
PVH - FOR ,Doméstico
SSA - BSB - COM,Doméstico
BSB - GRU - UIO / UIO - GRU - BSB,Doméstico
VIX - GRU - UDI,Doméstico
BEL - BSB - SSA,Doméstico
CGB - GRU / GRU - JDO,Doméstico
GYN-BSB-MAO,Doméstico
PPB - CGH / GRU - MCZ / MCZ - GRU / CGH - PPB ,Doméstico
GRU - ARU,Doméstico
BRC-EZE,Doméstico
BSB-CWB,Doméstico
GYN - PNZ,Doméstico
GIG - FOR ,Doméstico
PVH-BSB-FOR,Doméstico
EZE - FLN ,Doméstico
RAO - SDU ,Doméstico
POA - CWB,Doméstico
GIG - AEP,Doméstico
SLZ,Doméstico
CGH - MCZ / MCZ - GRU,Doméstico
NAT-GIG,Doméstico
GRU - DFW,Doméstico
GRU-YVR,Doméstico
FLN - GRU / REC - FEN,Doméstico
MAO - BSB - CWB,Doméstico
VIX - CGH ,Doméstico
FOR-POA,Doméstico
FORTALEZA X SALVADOR,Doméstico
GYN-CGH-REC,Doméstico
SJP - CGH - POA,Doméstico
REC - GRU - MGF,Doméstico
CWB - GIG / GIG - NAT,Doméstico
CNF-GRU-SSA,Doméstico
FOR - BSB - MCO,Doméstico
IGU - GIG / GIG - REC,Doméstico
BEL-SSA,Doméstico
REC X CGH,Doméstico
SSA -CGH,Doméstico
CAC - GRU - BPS,Doméstico
GYN X VIX,Doméstico
REC - SSA - VIX,Doméstico
SSA - CGH - SJP,Doméstico
SSA-SDU-VCP,Doméstico
CNF-CGH-GYN,Doméstico
BVB - MAO,Doméstico
SSA SDU ,Doméstico
- ,Doméstico
MGF - GRU - BSB - SSA,Doméstico
FLN - GRU - SSA,Doméstico
SSA-GRU-POA,Doméstico
FOR - CGB,Doméstico
FRA - LHR,Doméstico
PVH-GRU,Doméstico
BSB,Doméstico
BSB - AUX,Doméstico
MAO-GRU-PUJ,Doméstico
REC - GIG - AEP,Doméstico
GIG-GRU-VIX,Doméstico
REC- FEN,Doméstico
SJP - BPS,Doméstico
MOC - SSA,Doméstico
BSB - CNF - GRU - URG,Doméstico
GRU - REC,Doméstico
CGB - BSB - GIG - FOR,Doméstico
GRU - BSB - MCZ,Doméstico
POA X JDO,Doméstico
MAO - BSB - SSA,Doméstico
REC-FOR,Doméstico
CUN-BSB-CGH,Doméstico
EZE-GIG-SSA-REC,Doméstico
GYN-GRU-CWB,Doméstico
GRU,Doméstico
SDU - GRU - VVI,Doméstico
CGH - CWB,Doméstico
VDC - SSA,Doméstico
SDU - BSB - UDI,Doméstico
REC - BSB - REC,Doméstico
PVH - BSB - CUN / CUN - BSB  PVH,Doméstico
SSA-VGO,Doméstico
SSA - GIG - CWB / CWB - CGH - SSA,Doméstico
SSA-BSB-PVH,Doméstico
IGU - CGH,Doméstico
BSB-FOR,Doméstico
SSA - CWB,Doméstico
OPS - GRU ,Doméstico
AEP - GRU - BSB - PVH,Doméstico
MCZ-CGH,Doméstico
PVH - BSB - SSA - JPA,Doméstico
SDU-FLN,Doméstico
RAO - IGU ,Doméstico
FLN - BSB ,Doméstico
GRU - LDB,Doméstico
SIN-ADD-GRU-SSA,Doméstico
VCP - BSB - NAT / NAT - BSB - VCP,Doméstico
REC - CGH - NVT,Doméstico
VIX - SDU - PVH,Doméstico
BPS CNF,Doméstico
VCP-REC,Doméstico
LDB - CGH - REC / REC - CGH - LDB,Doméstico
NVT-CGH-VIX,Doméstico
SDU-IOS,Doméstico
REC-BSB-PVH,Doméstico
SDU - SSA ,Doméstico
CGH-BSB-BEL,Doméstico
MCZ - GRU - GYN,Doméstico
SSA- BSB,Doméstico
APR - MGF,Doméstico
SSA - CGH - POA,Doméstico
SSA REC,Doméstico
Rio de Janeiro/RJ - Campinas/SP,Doméstico
GRU - GIG - REC,Doméstico
CNF - GRU - FOR ,Doméstico
GYN - BSB ,Doméstico
SCL - GRU - SSA,Doméstico
LHR - GRU,Doméstico
SJP - BSB,Doméstico
VCP - SSA - SLZ,Doméstico
FLN-GRU,Doméstico
GIG - FLN,Doméstico
SSA-SDU-RAO,Doméstico
NVT-CGH-SSA,Doméstico
FOR-GRU,Doméstico
POA - GRU / GRU - POA,Doméstico
REC-GIG-POA,Doméstico
SJP - CGH ,Doméstico
GEL - GRU,Doméstico
XAP-FOR,Doméstico
DOH - CAI,Doméstico
POA-GIG,Doméstico
FOR - BSB - MIA / MIA - BSB - FOR,Doméstico
CFN-GRU-VIX,Doméstico
CGR - CGH - BPS,Doméstico
LDB - CGH / CGH - BSB / BSB - FOR,Doméstico
SDU - CGR,Doméstico
BEL-GRU-CWB,Doméstico
GRU - VDC,Doméstico
DFW-GRU-REC,Doméstico
PVH - BSB - POA,Doméstico
MCZ - GIG ,Doméstico
CWB-CGH-REC,Doméstico
GRU - FLN / FLN - GRU,Doméstico
GRU - RIA,Doméstico
PVH - BSB / BSB - FLN,Doméstico
PVH/CGH,Doméstico
FEC - REC,Doméstico
PVH - BSB - JPA / JPA - GIG - MAO - PVH,Doméstico
JPA - SSA - SDU,Doméstico
LIM - PTY - GRU - FLN,Doméstico
VDC X GRU,Doméstico
VIX/GRU - GRU/AJU,Doméstico
CGB-GRU,Doméstico
GRU-CAC,Doméstico
CZS-BSB-CNF-SSA-BPS,Doméstico
BSB - GRU - MAS / MAS - GRU - BSB,Doméstico
PVH - BSB / BSB - BEL,Doméstico
REC - BSB - CGH,Doméstico
MAO - MIA,Doméstico
VIX-BEL,Doméstico
REC - GIG - POA,Doméstico
FLN - CGH - SDU - BSB - RBR,Doméstico
REC- GRU ,Doméstico
GRU - GIG - MAD,Doméstico
MDV - GRU,Doméstico
